№;Настольная игра;Оценка;Издатель;Авторы;Коробка;Статус коробки;Дата приобретения;Состояние;Органайзер;Игра, руб
1;Агрикола: Фермеры c болот;8.25;Hobby World;Уве Розенберг;дополнение;новая;1/25/23;100%;с базой;104
2;Агрикола. Новое издание;8.50;Hobby World;Уве Розенберг;база;новая;5/22/18;95%;Gamefit;180
3;Алхимики ;8.25;GaGa Games;Матуш Котри;база;новая;4/3/20;90%;без органайзера;160
4;Алхимики: Королевский голем;7.50;GaGa Games;Матуш Котри;дополнение;новая;4/3/20;95%;без органайзера;90
5;Анахронность Биг Бокс;10.00;Mindclash Games;Виктор Петер;база;б/у;1/21/21;95%;BigBox;250
6;Анахронность: Разломы времени;; Mindclash Games;Давид Турци;дополнение;б/у;12/12/24;95%;BigBox;150
7;Анахронность: Несовершенное будущее;; Mindclash Games;Давид Турци;дополнение;б/у;12/12/24;95%;BigBox;150
8;Белый Замок;9.00;GaGa Games;Шейла Сантос;база;новая;11/2/23;95%;фанера от ПМ;95
9;Бессознательное (набор супер Эго, плейматы, промо, кол. наб);;GaGa Games; Джонатан Кантан;база;новая;12/4/24;100%;собственный;490
10;Бессознательное. Свободные ассоциации;;GaGa Games; Джонатан Кантан;дополнение;новая;12/4/24;100%;с базой;70
11;Бессознательное. Кошмары;;GaGa Games; Джонатан Кантан;дополнение;новая;12/4/24;100%;с базой;100
12;Битоку;;Hobby World;Давид Турци;база;новая;12/4/24;100%;3D печать;159
13;Борьба за Галактику;;Hobby World;Том Леманн;база;б/у;2/21/24;95%;без органайзера;80
14;Бразилия ;;Низа Гамс;Zé Mendes;база;новая;11/27/23;100%;Meeple House;155
15;Брюгге ;9.00;Hobby World;Штефан Фельд;база;новая;нет данных;95%;Gamefit;120
16;Брюгге: Город на Звине;8.25;Hobby World;Штефан Фельд;дополнение;новая;нет данных;95%;Gamefit;60
17;Бухта торговцев;;Фабрика игр;Дрейк Виллареал;база;б/у;5/8/24;95%;Boardgamelab;120
18;Бухта торговцев. Драконолог;;Фабрика игр;Карл Ван Остранд;дополнение;б/у;5/8/24;95%;Boardgamelab;70
19;Бухта торговцев. Оракул;;Фабрика игр;Карл Ван Остранд;дополнение;б/у;5/8/24;95%;Boardgamelab;70
20;Бухта торговцев. Тайник разбойников;;Фабрика игр;Карл Ван Остранд;дополнение;б/у;5/8/24;95%;Boardgamelab;70
21;Бухта торговцев. Хозяин таверны;;Фабрика игр;Карл Ван Остранд;дополнение;б/у;5/8/24;95%;Boardgamelab;70
22;Вдали от Солнца;;Crowd Games;Dennis K. Chan;база;новая;2/22/24;100%;Meeple House;188
23;Великая стена;9.25;Crowd Games;Lukasz Wlodarczyk;база;новая;10/28/22;100%;Awaken Realms;650
24;Великая стена. Древние существа;;Crowd Games;Lukasz Wlodarczyk;дополнение;новая;10/28/22;100%;Awaken Realms;0
25;Великая стена. Набор дополнений;;Crowd Games;Lukasz Wlodarczyk;дополнение;новая;10/28/22;100%;Awaken Realms;0
26;Великая стена. Чёрный порох;;Crowd Games;Lukasz Wlodarczyk;дополнение;новая;10/28/22;100%;Awaken Realms;0
27;Великая стена. Железный дракон;;Crowd Games;Lukasz Wlodarczyk;дополнение;новая;10/28/22;100%;Awaken Realms;0
28;Великий западный путь (первое издание);9.50;Звезда;Александр Пфистер;база;новая;3/19/20;95%;Gamefit;80
29;Великий западный путь: Дорога на Север;9.50;Звезда;Александр Пфистер;дополнение;новая;3/19/20;95%;Gamefit;40
30;Великий Западный Путь: Новая Зеландия;;Звезда;Александр Пфистер;база;новая;11/11/23;100%;собственный;165
31;Вечная зима: Палеоиндейцы;;GaGa Games;Стэн Кордонский;база;новая;1/10/23;100%;собственный;219
32;Вечная зима: Верные друзья;;GaGa Games; Джонатан Кантан;дополнение;новая;1/10/23;100%;собственный;18
33;Вечная зима: Священные земли;;GaGa Games; Джонатан Кантан;дополнение;новая;1/10/23;100%;собственный;18
34;Вечная зима: Северное сияние;;GaGa Games; Джонатан Кантан;дополнение;новая;1/10/23;100%;собственный;27
35;Виноделие: Полное издание;9.50;Лавка игр;Джейми Стегмайер;база;новая;1/10/21;100%;собственный;350
36;Виноделие: Долина Рейна;;Лавка игр;Джейми Стегмайер;дополнение;новая;1/10/21;100%;с базой;46
37;Во славу Одина;8.75;Hobby World;Уве Розенберг;база;новая;5/20/18;95%;собственный;350
38;Время Кофе;7.50;Звезда;Euijin Han;база;новая;12/12/23;95%;собственный;105
39;Гавр;9.00;Crowd Games;Уве Розенберг;база;новая;3/9/20;95%;Maify;250
40;Галерист;;Crowd Games;Витал Ласерда;база;новая;11/6/23;100%;собственный;330
41;Гегемония: Классовая борьба;;Лавка игр;Анастасиос Григориадис;база;новая;11/27/23;100%;Meeple House;254
42;Гегемония: Классовая борьба – Исторические события;;Лавка игр;Анастасиос Григориадис;дополнение;новая;11/27/23;100%;Meeple House;31
43;Гегемония: Классовая борьба – Кризис и контроль;;Лавка игр;Анастасиос Григориадис;дополнение;новая;11/27/23;100%;Meeple House;79
44;Генотип: Игра о генетике Менделя;8.50; Crowd Games;John Coveyou;база;новая;9/14/22;100%;Meeple House;100
45;Глен‐Мор II: Хроники;;Лавка игр;Маттиас Крамер;база;новая;1/21/22;100%;Meeple House;228
46;"Гранд-отель ""Австрия""";9.25;Crowd Games;Симоне Лучани;база;новая;1/4/23;100%;Boardgamelab;163
47;"Гранд-отель ""Австрия"": Станцуем вальс!";;Crowd Games;Симоне Лучани;дополнение;новая;5/31/24;100%;с базой;110
48;Детектив: Игра о Современном Расследовании – Первый сезон;7.00;GaGa Games;Игнаций Тшевичек;база;новая;4/1/21;95%;собственный;116
49;Дюна: Империя;8.00;Лавка игр;Пол Деннен;база;новая;10/4/22;100%;Boardgamelab;192
50;Дюна: Империя – Бессмертие;8.00;Лавка игр;Пол Деннен;дополнение;новая;12/23/23;100%;Boardgamelab;112
51;Дюна: Империя – Расцвет иксианцев;8.00;Лавка игр;Пол Деннен;дополнение;новая;10/4/22;100%;Boardgamelab;142
52;Земля;; Лавка игр;Maxime Tardif;база;новая;4/14/24;100%;Meeple House;170
53;Изобретения: Эволюция идей;; Crowd Games;Витал Ласерда;база;новая;5/31/24;100%;собственный;417
54;История рыцаря;9.00;Hobby World;Марцин Вистхаль;база;новая;10/23/23;100%;Meeple House;110
55;Каменный век. На заре человечества;10.00;Звезда;Jerome Daniel Snowrchoff;база;новая;4/18/24;100%;Meeple House;194
56;Канбан Электро;; Лавка игр;Витал Ласерда;база;новая;8/26/22;100%;собственный;400
57;Канбан Электро: Набор улучшений;; Лавка игр;Витал Ласерда;дополнение;новая;8/26/22;100%;с базой;50
58;Кланы Каледонии;9.50; Crowd Games;Juma Al-JouJou;база;новая;1/2/20;95%;Maify;200
59;Контейнер: Полное юбилейное издание;7.50;Crowd Games;Kevin Nesbitt;база;новая;нет данных;80%;собственный;100
60;Костёр;9.00;Hobby World;Штефан Фельд;база;новая;4/23/22;95%;Meeple House;120
61;Крутое пике;;Лавка игр;Люк Ремон;база;новая;12/25/24;100%;без органайзера;99
62;Крылья;9.00;Лавка игр;Элизабет Харгрейв;база;б/у;9/7/22;90%;Boardgamelab;300
63;Крылья: Птицы Европы;9.00;Лавка игр;Элизабет Харгрейв;дополнение;б/у;9/7/22;90%;Boardgamelab;125
64;Крылья: Птицы Океании;9.00;Лавка игр;Элизабет Харгрейв;дополнение;б/у;9/7/22;90%;Boardgamelab;125
65;Ла-Гранха ;9.25;Crowd Games;Андреас Одендаль;база;новая;1/10/20;95%;Meeple House;150
66;Летопись: Полное издание ;;Звезда;Маркус Бранд;база;новая;12/18/23;100%;Meeple House;185
67;Лиссабон ;;Лавка игр;Витал Ласерда;база;новая;9/12/21;100%;собственный;280
68;Лихолетье;;GaGa Games;Stefano Di Silvio;база;новая;12/24/24;100%;Meeple House;157
69;Лоренцо Великолепный ;8.75;Crowd Games;Симоне Лучани;база;новая;3/25/20;100%;Meeple House;100
70;Лоренцо Великолепный: Дома эпохи Возрождения;8.75;Crowd Games;Симоне Лучани;дополнение;новая;3/25/20;100%;с базой;80
71;Маракайбо ;8.50;Hobby World;Александр Пфистер;база;новая;1/6/21;100%;Meeple House;175
72;Машина погоды ;;Crowd Games;Витал Ласерда;база;новая;11/6/23;100%;собственный;425
73;Мерв ;;GaGa Games;Фабио Лопиано;база;новая;11/14/23;100%;Meeple House;120
74;Мессина 1347 ;9.00;Hobby World;Владимир Сухи;база;новая;11/30/23;100%;Meeple House;145
75;Мрачная гавань;;Hobby World;Айзек Чилдрес;база;новая;9/25/24;100%;Maify;518
76;На Марсе ;;Лавка игр;Витал Ласерда;база;новая;1/16/22;100%;собственный;275
77;Неизвестная планета ;8.25;Crowd Games;Райан Ламберт;база;новая;10/21/22;100%;собственный;278
78;Ни шагу назад! ;9.00;GaGa Games;Карл Паради;база;новая;1/8/23;100%;Meeple House;150
79;Орлеан ;9.25;GaGa Games;Reiner Stockhausen;база;новая;3/29/20;100%;собственный;350
80;Орлеан: Вторжение ;;GaGa Games;Маркус Бранд;дополнение;новая;2/11/22;100%;собственный;0
81;Орлеан: Торговля и интриги ;9.25;GaGa Games; Reiner Stockhausen;дополнение;новая;3/29/20;100%;с базой;0
82;Ост-Индская компания ;8.00;Фабрика игр;Паскаль Рибро;база;новая;11/10/23;100%;Meeple House;115
83;Остров духов ;8.50;Hobby World;R. Eric Reuss;база;новая;3/20/20;100%;GBA;200
84;Паладины западного королевства ;8.25;Лавка игр;Шем Филлипс;база;новая;2/22/22;100%;Meeple House;108
85;Палео ;9.50;Hobby World;Петер Рустемайер;база;новая;11/15/23;100%;Meeple House;200
86;Палео: Новое начало ;;Hobby World;Петер Рустемайер;дополнение;новая;11/15/23;100%;с базой;0
87;Палео: Обряд посвящения ;;Hobby World;Петер Рустемайер;дополнение;новая;11/15/23;100%;с базой;0
88;Палео: Ужасные птицы ;;Hobby World;Петер Рустемайер;дополнение;новая;11/15/23;100%;с базой;0
89;Памперо;;Cosmodrome Games;Жулио Помбо;база;новая;1/4/25;100%;GameTrayz;350
90;Памперо: Природа;;Cosmodrome Games;Жулио Помбо;дополнение;новая;1/4/25;100%;с базой;0
91;Памперо: Чистое небо;;Cosmodrome Games;Жулио Помбо;дополнение;новая;1/4/25;100%;с базой;0
92;Пандемия: Наследие. Сезон 1;;Стиль жизни;Роб Давио;база;новая;12/30/24;100%;собственный;263
93;Плотина ;10.00;Crowd Games;Симоне Лучани;база;новая;1/16/22;95%;Boardgamelab;0
94;Плотина: Нил ;;Crowd Games;Симоне Лучани;дополнение;новая;5/31/24;100%;Boardgamelab;45
95;"Плотина: Проект ""Легватер"" ";9.00;Crowd Games;Симоне Лучани;дополнение;новая;11/6/23;95%;Boardgamelab;100
96;Побег из Вистара ;;Crowd Games;Симоне Лучани;база;новая;3/21/24;100%;Meeple House;200
97;Подводные города ;10.00;Hobby World;Владимир Сухи;база;новая;2/24/20;95%;Mightybox;140
98;Подводные города: Новые открытия;9.50;Hobby World;Владимир Сухи;дополнение;новая;1/10/21;95%;Mightybox;80
99;Подлодка ;8.00;Crowd Games;Bartosz Pluta;база;новая;1/1/20;90%;Meeple House;150
100;Покорение Марса ;9.75;Лавка игр;Якуб Фрюкселиус;база;новая;нет данных;90%;BigBox;320
101;Покорение Марса: Большая коробка (PL);;PL;Якуб Фрюкселиус;дополнение;новая;нет данных;100%;BigBox;320
102;Покорение Марса: Кризис ;;Лавка игр;Якуб Фрюкселиус;дополнение;новая;нет данных;95%;BigBox;70
103;Покорение Марса. Колонии ;;Лавка игр;Якуб Фрюкселиус;дополнение;новая;нет данных;95%;BigBox;80
104;Покорение Марса. Проект «Венера» ;8.75;Лавка игр;Якуб Фрюкселиус;дополнение;новая;нет данных;95%;BigBox;49
105;Покорение Марса. Эллада и Элизий ;8.00;Лавка игр;Якуб Фрюкселиус;дополнение;новая;нет данных;95%;BigBox;40
106;Прага Сердце Империи ;;Hobby World;Владимир Сухи;база;новая;1/16/22;100%;Meeple House;128
107;Прет-а-порте ;9.25;Звезда;Игнаций Тшевичек;база;новая;1/16/21;100%;собственный;123
108;Пригород ;8.50;Crowd Games;Тед Олспач;база;новая;9/14/22;100%;GameTrayz;184
109;"Проект ""Гайя"" ";10.00;Hobby World;Хельге Остертаг;база;новая;2/9/21;100%;GBA;350
110;Проект Возрождение ;10.00;Стиль жизни;Эйлиф Свенссон;база;новая;10/23/23;100%;Boardgamelab;187
111;Проект Возрождение: Зов бездны;8,3;Стиль жизни;Эйлиф Свенссон;дополнение;новая;15/12/25;100%;без органайзера;120
112;Путешествия Марко Поло ;8.75;Crowd Games;Симоне Лучани;база;новая;нет данных;100%;Maify;100
113;Пять племён ;8.50;Crowd Games;Бруно Катала;база;новая;2/21/22;100%;собственный;147
114;Робинзон Крузо: Приключения на таинственном острове ;8.75;Hobby World;Игнаций Тшевичек;база;новая;нет данных;95%;Gamefit;120
115;Руины острова Арнак ;9.00;GaGa Games;Michal Stach;база;новая;11/3/23;100%;Boardgamelab;188
116;Руины острова Арнак: лидеры экспедиции;9.00;GaGa Games;Michal Stach;дополнение;новая;11/3/23;100%;Boardgamelab;95
117;Рыцарь-маг. Полное издание;;Лавка игр;Владя Хватил;база;новая;11/1/22;100%;Gamefit;396
118;Серп;9.75;Crowd Games;Джейми Стегмайер;база;новая;4/3/19;100%;BigBox;630
119;Серп: Восхождение Фенриса ;9.50;Crowd Games;Джейми Стегмайер;дополнение;новая;11/29/19;100%;Gamefit;100
120;Серп. Захватчики из далёких земель ;9.00;Crowd Games;Джейми Стегмайер;дополнение;новая;4/7/19;100%;Gamefit;100
121;Серп. Небесный Гамбит ;9.00;Crowd Games;Джейми Стегмайер;дополнение;новая;4/7/19;100%;Gamefit;110
122;Серп. Приключения ;9.00;Crowd Games;Джейми Стегмайер;дополнение;новая;4/7/19;100%;Gamefit;60
123;Сквозь Века. Новая История Цивилизации ;8.75;GaGa Games;Владя Хватил;база;новая;нет данных;95%;Gamefit;200
124;Слишком много костей;10.00;Лавка игр;Adam Carlson;база;новая;8/4/24;100%;BigBox;970
125;Слишком много костей: Гилли ;;Лавка игр;Adam Carlson;дополнение;новая;8/4/24;100%;BigBox;0
126;Слишком много костей: Малыш гирлок ;;Лавка игр;Adam Carlson;дополнение;новая;8/4/24;100%;BigBox;0
127;Слишком много костей: Наггет ;;Лавка игр;Adam Carlson;дополнение;новая;8/4/24;100%;BigBox;0
128;Слишком много костей: Тинк ;;Лавка игр;Adam Carlson;дополнение;новая;8/4/24;100%;BigBox;0
129;Слишком много костей: Эпоха тирании;;Лавка игр;Adam Carlson;дополнение;новая;8/4/24;100%;BigBox;0
130;Слишком много костей: 40 дней Дейлора;;Лавка игр;Adam Carlson;дополнение;новая;8/4/24;100%;BigBox;0
131;Сумеречная борьба ;9.00;GaGa Games;Ananda Gupta;база;новая;9/1/22;100%;Boardgamelab;44
132;Сумеречная борьба: Нулевой ход ;;GaGa Games;Jason Matthews;дополнение;новая;9/5/22;100%;Boardgamelab;50
133;Таверны Тифенталя ;8.25;Лавка игр;Вольфганг Варш;база;новая;1/16/21;100%;Meeple House;123
134;Теотиуакан. Город богов ;9.00;Crowd Games;Даниеле Ташини;база;новая;11/10/19;100%;Maify;165
135;Техену: Обелиск Солнца ;8.00;Crowd Games;Даниеле Ташини;база;новая;1/21/22;100%;Meeple House;141
136;Трикерион: Искусство иллюзии ;;Crowd Games;Виктор Петер;база;новая;11/6/23;100%;собственный;395
137;Федерация ;;Crowd Games;Димитрий Перье;база;новая;11/20/23;100%;Meeple House;241
138;Халлертау ;8.50;Hobby World;Уве Розенберг;база;новая;2/5/22;100%;Meeple House;193
139;Цолькин: Календарь Майя ;8.50;GaGa Games;Даниеле Ташини;база;новая;3/15/20;100%;Meeple House;100
140;Цолькин: Племена и пророчества;8.50;GaGa Games;Даниеле Ташини;дополнение;новая;2/21/22;100%;с базой;69
141;Чума (набор улучшений + дорожные события);;Crowd Games;Thomas Nielsen;база;новая;12/25/24;100%;собственный;437
142;Эверделл ;9.00;Hobby Games;Dann May;база;новая;1/22/21;100%;Maify;190
143;Эверделл: Жемчужный ручей ;8.50;Hobby World;Dann May;дополнение;новая;1/22/21;100%;Maify;119
144;Эверделл: Острые хребты. Делюкс ;9.00;Hobby World;James A. Wilson;дополнение;новая;10/25/23;100%;Maify;148
145;Эверделл: Золото долины;9.00;Hobby World;Dann May;дополнение;новая;10/18/23;100%;Maify;132
146;Экспансия: Век паруса ;9.25;Crowd Games;Jarratt Gray;база;новая;1/10/21;100%;GameTrayz;150
147;Эра: Средневековье;;Звезда;Мэтт Ликок;база;новая;12/22/23;100%;собственный;181
148;Эра: Средневековье – Реки и Дороги ;;Звезда;Мэтт Ликок;дополнение;новая;12/22/23;100%;собственный;130
149;Это моя война: Настольная игра ;9.00;Crowd Games;Якуб Висневский;база;новая;9/25/22;95%;GBA;225
150;Это моя война. Истории осаждённого города ;8.25;Crowd Games;Якуб Висневский;дополнение;новая;10/26/22;95%;GBA;93
151;Этот безумный мир;;Эврикус;Фредерик Герар;база;новая;12/25/24;100%;без органайзера;232
152;Этот безумный мир. Война или мир;;Эврикус;Фредерик Герар;дополнение;новая;12/25/24;100%;без органайзера;0
153;Этот безумный мир. Праздность и упадок;;Эврикус;Фредерик Герар;дополнение;новая;12/25/24;100%;без органайзера;0
154;Azul ;8.25;Звезда;Михаэль Кислинг;база;новая;3/28/20;100%;собственный;70
155;Brass. Бирмингем ;8.75;Crowd Games;Мартин Уоллес;база;новая;2/18/21;100%;собственный;250
156;The Castles of Burgundy: Special Edition ;10.00;Alea;Штефан Фельд;база;новая;6/14/24;100%;BigBox;850
157;Eclipse. Второй рассвет галактики ;9.50;Crowd Games;Тоуко Тахкокаллио;база;новая;2/18/21;100%;GameTrayz;420
158;IKI. Игра о мастерах эпохи Эдо;8.00;Cosmodrome Games;Koota Yamada;база;новая;10/27/23;100%;Meeple House;120
159;IKI: Akebono ;8.00;Cosmodrome Games;Koota Yamada;дополнение;б/у;12/13/24;100%;Meeple House;115
160;Keyflower ;8.00;Фабрика игр; Ричард Бриз;база;новая;3/6/20;100%;Meeple House;120
161;Pax Pamir: Большая игра ;;Crowd Games; Мэтт Эклунд;база;новая;9/7/22;100%;Boardgamelab;200
162;Ticket to Ride: Европа ;7.50;Days of Wonder;Алан Мун;база;новая;нет данных;95%;собственный;100
163;Ticket to Ride. Наследие: Легенды Запада;;Days of Wonder;Алан Мун;база;новая;1/4/25;100%;собственный;406
164;Vinhos: Русское издание ;;Choo Choo Games;Витал Ласерда;база;новая;4/28/24;100%;собственный;355
;;;;;;;;;ИТОГО:;26,676
;;;;;;;;;;